date,new_cases,new_deaths,total_cases,total_deaths
12/31/2019,54,0,54,0
1/1/2020,0,0,54,0
1/2/2020,0,0,54,0
1/3/2020,34,0,88,0
1/4/2020,0,0,88,0
1/5/2020,30,0,118,0
1/6/2020,0,0,118,0
1/7/2020,0,0,118,0
1/8/2020,0,0,118,0
1/9/2020,0,0,118,0
1/10/2020,0,0,118,0
1/11/2020,0,2,118,2
1/12/2020,0,0,118,2
1/13/2020,2,0,120,2
1/14/2020,0,0,120,2
1/15/2020,2,2,122,4
1/16/2020,0,0,122,4
1/17/2020,10,0,132,4
1/18/2020,34,0,166,4
1/19/2020,272,2,438,6
1/20/2020,40,0,478,6
1/21/2020,306,6,784,12
1/22/2020,284,22,1068,34
1/23/2020,194,0,1262,34
1/24/2020,532,18,1794,52
1/25/2020,906,30,2700,82
1/26/2020,1346,30,4046,112
1/27/2020,1594,50,5640,162
1/28/2020,3534,50,9174,212
1/29/2020,2960,52,12134,264
1/30/2020,3512,76,15646,340
1/31/2020,4006,86,19652,426
2/1/2020,4240,92,23892,518
2/2/2020,5216,92,29108,610
2/3/2020,5636,114,34744,724
2/4/2020,6486,130,41230,854
2/5/2020,7814,132,49044,986
2/6/2020,7502,144,56546,1130
2/7/2020,6436,146,62982,1276
2/8/2020,6884,172,69866,1448
2/9/2020,5238,178,75104,1626
2/10/2020,5976,194,81080,1820
2/11/2020,5130,216,86210,2036
2/12/2020,4144,194,90354,2230
2/13/2020,30302,510,120656,2740
2/14/2020,8430,26,129086,2766
2/15/2020,5120,288,134206,3054
2/16/2020,4324,284,138530,3338
2/17/2020,4134,212,142664,3550
2/18/2020,3990,196,146654,3746
2/19/2020,3728,278,150382,4024
2/20/2020,1064,232,151446,4256
2/21/2020,1992,238,153438,4494
2/22/2020,2170,224,155608,4718
2/23/2020,2016,208,157624,4926
2/24/2020,1054,312,158678,5238
2/25/2020,1586,158,160264,5396
2/26/2020,1726,128,161990,5524
2/27/2020,2212,76,164202,5600
2/28/2020,2528,114,166730,5714
2/29/2020,3676,128,170406,5842
3/1/2020,3642,116,174048,5958
3/2/2020,4088,134,178136,6092
3/3/2020,3190,144,180386,6227
3/4/2020,4826,168,185250,6396
3/5/2020,4478,160,189697,6556
3/6/2020,5712,206,195521,6762
3/7/2020,7922,206,203339,6968
3/8/2020,7382,194,210695,7163
3/9/2020,7742,458,218421,7621
3/10/2020,9074,418,228063,8037
3/11/2020,8756,538,236385,8577
3/12/2020,13774,652,250118,9228
3/13/2020,16704,702,266503,9929
3/14/2020,18750,876,285368,10804
3/15/2020,16280,708,301927,11513
3/16/2020,32102,1492,334100,13007
3/17/2020,25490,1192,359606,14199
3/18/2020,29500,1540,389118,15739
3/19/2020,36690,1940,425808,17679
3/20/2020,58438,2084,484247,19763
3/21/2020,57510,2734,541759,22497
3/22/2020,68094,3380,609853,25877
